ts,bid_px,ask_px,bid_sz,ask_sz
1773754204471962505,250.0,253.35,100.0,100.0
1773754204472047985,250.0,252.69,100.0,100.0
1773754204472351717,250.0,253.35,100.0,100.0
1773754204472422393,250.0,252.65,100.0,100.0
1773754204472836449,250.0,253.35,100.0,100.0
1773754204472859007,250.0,252.62,100.0,100.0
1773754204472943633,250.0,252.6,100.0,100.0
1773754204474910016,250.0,252.61,100.0,100.0
1773754204475451184,250.0,253.35,100.0,100.0
1773754204475736444,250.0,252.61,100.0,100.0
1773754204477031370,250.0,252.6,100.0,100.0
1773754204480525233,250.0,252.59,100.0,100.0
1773754204481036103,250.0,252.59,100.0,200.0
1773754204481043343,250.0,252.59,100.0,100.0
1773754204481226687,250.0,252.6,100.0,100.0
1773754204481455137,250.0,253.35,100.0,100.0
1773754204481478790,250.0,252.59,100.0,100.0
1773754204505001717,250.0,252.6,100.0,100.0
1773754204505277412,252.56,252.6,100.0,100.0
1773754204505450225,252.56,253.35,100.0,100.0
1773754204505533423,250.0,253.35,100.0,100.0
1773754204505998199,250.0,252.63,100.0,100.0
1773754204506053476,250.0,253.35,100.0,100.0
1773754204555815179,252.55,253.35,100.0,100.0
1773754204555940676,252.55,252.65,100.0,100.0
1773754204555987866,252.55,253.35,100.0,100.0
1773754204556067506,252.55,252.65,100.0,100.0
1773754204556172670,252.55,252.65,200.0,100.0
1773754204556181051,252.55,252.65,100.0,100.0
1773754204556213287,250.0,252.65,100.0,100.0
1773754204556235006,250.0,253.35,100.0,100.0
1773754204556257490,250.0,252.65,100.0,100.0
1773754204556281381,252.55,252.65,100.0,100.0
1773754204556430742,252.55,253.35,100.0,100.0
1773754204556457506,252.55,252.65,100.0,100.0
1773754204557442713,252.55,253.35,100.0,100.0
1773754204557469903,252.55,252.65,100.0,100.0
1773754204558564373,252.55,253.35,100.0,100.0
1773754204558604247,252.55,252.64,100.0,100.0
1773754204558926626,252.55,253.35,100.0,100.0
1773754204558948988,252.55,252.65,100.0,100.0
1773754204560229235,252.55,252.66,100.0,100.0
1773754204560275651,252.54,252.66,100.0,100.0
1773754204560905013,252.54,253.35,100.0,100.0
1773754204560924999,250.0,253.35,100.0,100.0
1773754204560952888,252.54,253.35,100.0,100.0
1773754204560979643,252.54,252.66,100.0,100.0
1773754204561822100,252.54,253.35,100.0,100.0
