ts,open_px,high_px,low_px,close_px,volume
1773757380000,672.45,672.655,672.45,672.655,1244.0
1773757440000,672.675,672.675,672.53,672.595,721.0
1773757500000,672.51,672.51,672.07,672.105,3610.0
1773757560000,672.1,672.485,672.1,672.29,2196.0
1773757620000,672.33,672.435,672.23,672.27,3902.0
1773757680000,672.26,672.76,672.225,672.655,11129.0
1773757740000,672.625,672.66,672.32,672.57,8805.0
1773757800000,672.73,672.8,672.6,672.6,1125.0
1773757860000,672.58,672.58,672.22,672.41,902.0
1773757920000,672.55,672.845,672.43,672.845,2950.0
1773757980000,672.73,673.075,672.63,673.045,1800.0
1773758040000,673.06,673.08,672.95,672.95,4759.0
1773758100000,672.99,673.25,672.95,673.2,1902.0
1773758160000,673.03,673.15,672.91,672.95,1928.0
1773758220000,672.96,673.075,672.775,672.9,8825.0
1773758280000,672.86,672.86,672.35,672.35,1703.0
1773758340000,672.4,672.705,672.4,672.5,845.0
1773758400000,672.6,672.6,672.37,672.42,2138.0
1773758460000,672.42,672.54,672.3,672.54,670.0
1773758520000,672.57,672.92,672.57,672.83,1173.0
1773758580000,672.84,673.27,672.82,673.27,732.0
1773758640000,673.205,673.35,673.205,673.27,1118.0
1773758700000,673.245,673.3,673.22,673.28,1681.0
1773758760000,673.13,673.215,673.1,673.215,3199.0
1773758820000,673.2,673.385,673.13,673.24,2282.0
1773758880000,673.25,673.365,673.21,673.365,4167.0
1773758940000,673.35,673.43,673.27,673.3,1586.0
1773759000000,673.305,673.365,673.12,673.29,1622.0
1773759060000,673.07,673.32,672.975,673.32,768.0
1773759120000,673.05,673.19,673.05,673.12,391.0
1773759180000,673.12,673.28,673.12,673.22,466.0
1773759240000,673.13,673.31,673.085,673.085,480.0
1773759300000,673.16,673.17,673.16,673.16,318.0
1773759360000,673.26,673.275,673.23,673.265,303.0
1773759420000,673.21,673.24,673.1,673.1,1662.0
1773759480000,673.14,673.14,672.98,673.04,1044.0
1773759540000,673.03,673.04,672.99,672.99,322.0
1773759600000,673.02,673.25,673.02,673.11,7130.0
1773759660000,673.05,673.22,672.955,672.97,1091.0
1773759720000,673.01,673.01,672.945,672.945,137.0
1773759780000,672.87,672.91,672.73,672.73,1672.0
1773759840000,672.81,672.81,672.46,672.46,2265.0
1773759900000,672.56,672.56,672.35,672.4,504.0
1773759960000,672.6,672.61,672.34,672.34,786.0
1773760020000,672.38,672.53,672.14,672.14,1827.0
1773760080000,671.99,672.05,671.9,671.92,1350.0
1773760140000,671.895,671.99,671.84,671.855,1737.0
1773760200000,671.81,672.085,671.74,672.085,2419.0
1773760260000,672.07,672.195,671.78,671.78,1887.0
1773760320000,671.81,672.125,671.81,672.125,486.0
1773760380000,672.06,672.06,671.81,671.81,2298.0
1773760440000,671.87,672.055,671.87,671.89,2933.0
1773760500000,671.91,672.33,671.91,672.26,1310.0
1773760560000,672.24,672.6,672.24,672.6,1427.0
1773760620000,672.63,672.63,672.415,672.415,536.0
1773760680000,672.52,672.65,672.0,672.23,2542.0
1773760740000,672.35,672.4,672.35,672.39,512.0
1773760800000,672.62,672.62,672.23,672.23,1579.0
1773760860000,672.19,672.19,671.69,671.69,1027.0
1773760920000,671.64,672.07,671.64,672.07,2650.0
1773760980000,672.05,672.24,672.02,672.19,1839.0
1773761040000,672.12,672.13,671.92,672.13,2083.0
1773761100000,672.09,672.425,672.09,672.41,1363.0
1773761160000,672.41,672.535,672.28,672.52,2094.0
1773761220000,672.42,672.42,671.99,671.99,1658.0
1773761280000,671.99,672.01,671.895,671.97,669.0
1773761340000,671.85,671.9,671.675,671.9,4243.0
1773761400000,671.7,671.98,671.7,671.98,681.0
1773761460000,671.97,672.19,671.88,671.88,5228.0
1773761520000,671.895,671.895,671.55,671.55,1736.0
1773761580000,671.54,671.56,671.38,671.38,878.0
1773761640000,671.41,671.615,671.255,671.265,3007.0
1773761700000,671.26,671.51,671.015,671.015,1261.0
1773761760000,671.0,671.0,670.38,670.41,5540.0
1773761820000,670.42,670.67,670.35,670.54,7588.0
1773761880000,670.57,670.73,670.44,670.44,5494.0
1773761940000,670.455,670.855,670.455,670.855,2408.0
1773762000000,670.68,670.97,670.68,670.97,936.0
1773762060000,670.91,670.97,670.86,670.86,1236.0
1773762120000,670.78,670.78,670.64,670.64,629.0
1773762180000,670.62,670.91,670.61,670.91,1384.0
1773762240000,670.98,671.26,670.93,671.23,1783.0
1773762300000,671.16,671.45,671.16,671.45,1717.0
1773762360000,671.36,671.62,671.325,671.62,903.0
1773762420000,671.4,671.52,671.4,671.48,841.0
1773762480000,671.42,671.42,671.13,671.31,5133.0
1773762540000,671.18,671.18,670.95,670.95,1007.0
1773762600000,671.07,671.41,671.07,671.33,2758.0
1773762660000,671.29,671.61,671.29,671.52,1898.0
1773762720000,671.515,671.52,671.13,671.19,1956.0
1773762780000,671.19,671.5,671.09,671.5,3628.0
1773762840000,671.46,671.46,671.27,671.34,1707.0
1773762900000,671.32,671.38,670.99,671.38,2418.0
1773762960000,671.3,671.42,671.11,671.14,2888.0
1773763020000,671.175,671.22,671.035,671.035,2406.0
1773763080000,671.055,671.065,670.86,670.97,2984.0
1773763140000,671.11,671.135,671.02,671.02,2018.0
1773763200000,671.0,671.065,670.81,670.94,703.0
1773763260000,670.9,670.9,670.73,670.76,505.0
1773763320000,670.88,670.88,670.55,670.56,807.0
1773763380000,670.59,670.66,670.45,670.46,5408.0
1773763440000,670.44,670.815,670.44,670.59,4475.0
1773763500000,670.615,670.91,670.61,670.65,2729.0
1773763560000,670.73,670.865,670.55,670.575,4759.0
1773763620000,670.585,670.585,670.09,670.285,5760.0
1773763680000,670.49,670.665,670.49,670.53,2201.0
1773763740000,670.54,670.67,670.335,670.64,1514.0
1773763800000,670.64,670.92,670.64,670.89,1861.0
